amplitude,phase_parameter,truth_phase,fit_mean,fit_std,delta_fit_minus_truth,n,available_in_root,treated_as_fixed_zero
a_T_0_0,aphi_T_0_0,1.21437,1.145398988839247,0.033320542206408885,-0.06897101116075266,438,True,False
a_T_1_-1,aphi_T_1_-1,0.73652,0.0,0.0,-0.7365200000000001,438,False,True
a_T_1_0,aphi_T_1_0,-1.67283,-1.7337636117948525,0.10984471330139646,-0.06093361179485246,438,True,False
a_T_1_1,aphi_T_1_1,0.0,0.0,0.0,0.0,438,False,True
a_T_2_-2,aphi_T_2_-2,0.21864,0.0,0.0,-0.21864000000000017,438,False,True
a_T_2_-1,aphi_T_2_-1,-2.80231,0.0,0.0,2.8023100000000003,438,False,True
a_T_2_0,aphi_T_2_0,1.4937,0.0,0.0,-1.4937,438,False,True
a_T_2_1,aphi_T_2_1,-0.35648,0.0,0.0,0.3564799999999999,438,False,True
a_T_2_2,aphi_T_2_2,2.76412,0.0,0.0,-2.76412,438,False,True
a_L_0_0,aphi_L_0_0,2.03144,1.1136095826975634,0.5226237986778118,-0.9178304173024365,438,True,False
a_L_1_0,aphi_L_1_0,0.48291,0.396092562329466,0.03448411015327425,-0.08681743767053396,438,True,False
a_L_1_1,aphi_L_1_1,-2.14673,-2.1606325124548675,0.004269052640027054,-0.013902512454867733,438,True,False
a_L_2_0,aphi_L_2_0,2.20891,0.0,0.0,-2.20891,438,False,True
a_L_2_1,aphi_L_2_1,-1.38652,0.0,0.0,1.38652,438,False,True
a_L_2_2,aphi_L_2_2,0.94716,0.0,0.0,-0.9471600000000002,438,False,True
b_T_0_0,bphi_T_0_0,-2.48761,-3.0633706157728016,0.2070538860672487,-0.5757606157728015,438,True,False
b_T_1_-1,bphi_T_1_-1,0.0,0.0,0.0,0.0,438,False,True
b_T_1_0,bphi_T_1_0,-0.91426,-0.959130590707435,0.023249514409558553,-0.04487059070743493,438,True,False
b_T_1_1,bphi_T_1_1,0.0,0.0,0.0,0.0,438,False,True
b_T_2_-2,bphi_T_2_-2,-0.42173,0.0,0.0,0.42173000000000016,438,False,True
b_T_2_-1,bphi_T_2_-1,2.39108,0.0,0.0,-2.39108,438,False,True
b_T_2_0,bphi_T_2_0,-2.01946,0.0,0.0,2.0194600000000005,438,False,True
b_T_2_1,bphi_T_2_1,0.63827,0.0,0.0,-0.6382699999999999,438,False,True
b_T_2_2,bphi_T_2_2,-1.24795,0.0,0.0,1.2479499999999994,438,False,True
b_L_1_1,bphi_L_1_1,1.67384,1.6743973048373997,0.006131964501765028,0.0005573048373994638,438,True,False
b_L_2_1,bphi_L_2_1,1.12468,0.0,0.0,-1.1246799999999997,438,False,True
b_L_2_2,bphi_L_2_2,-2.67315,0.0,0.0,2.6731499999999997,438,False,True
