amplitude,phase_parameter,truth_magnitude,truth_phase,truth_real,truth_imag,fit_complex_abs_from_mean,fit_complex_arg_from_mean,fit_real_mean,fit_imag_mean,fit_real_std,fit_imag_std,delta_real,delta_imag,delta_abs,delta_arg,relative_delta_abs,n,available_in_root
a_T_0_0,aphi_T_0_0,0.181155,1.21437,0.0632099434229335,0.16976936436668882,0.16411723500378828,1.1466544135614694,0.06754062304280559,0.14957516860855716,0.0029923402692019815,0.008009671802474682,0.004330679619872088,-0.020194195758131667,0.020653336977053332,-1.3595442999881562,0.11400920193786167,438,True
a_T_1_m1,aphi_T_1_m1,0.185705,0.0,0.185705,0.0,0.18875433342277503,0.7383716781965699,0.13959619995008798,0.12704762628782637,0.0012126730568660434,0.0013257218353949544,-0.046108800049912024,0.12704762628782637,0.13515591288365433,1.9189391823576205,0.727798997784951,438,True
a_T_1_0,aphi_T_1_0,0.047165,-1.67283,-0.004804072298559624,-0.046919698574801307,0.05503547519483889,-1.729514013229621,-0.008698474687588916,-0.05434372151436724,0.0015280759856321309,0.005442929880706233,-0.0038944023890292922,-0.007424022939565934,0.008383465069699897,-2.053904349053871,0.17774758973179045,438,True
a_T_1_1,aphi_T_1_1,0.261065,0.0,0.261065,0.0,0.7297557212181126,0.0,0.7297557212181126,0.0,0.0008611483188270714,0.0,0.4686907212181126,0.0,0.4686907212181126,0.0,1.7953027836673343,438,True
a_L_0_0,aphi_L_0_0,0.025,2.03144,-0.011113119498537393,0.022394163860506786,0.03807036060714161,1.0651407845378245,0.018440561251562126,0.033306126425707114,0.010939277731957612,0.009378389801896633,0.02955368075009952,0.010911962565200328,0.031503824734516545,0.353698211644792,1.2601529893806616,438,True
a_L_1_0,aphi_L_1_0,0.0615,0.48291,0.05446731458935291,0.028558039873640896,0.06896953586130244,0.3958668960395997,0.06363561327111547,0.026595217625214447,0.003846207862024455,0.0022062170172507094,0.009168298681762561,-0.001962822248426449,0.009376053108687417,-0.21090424138677255,0.1524561481087385,438,True
a_L_1_1,aphi_L_1_1,0.12,-2.14673,-0.06535417018724535,-0.10064210072895226,0.12467994437780255,-2.1606749558156784,-0.06935448664764357,-0.10361005603653425,0.001491096124602141,0.0016468429538636846,-0.004000316460398223,-0.002967955307581996,0.0049810933027937855,-2.503276299289115,0.04150911085661488,438,True
b_T_0_0,bphi_T_0_0,0.101645,-2.48761,-0.08067230697210612,-0.061835951620382454,0.07643769960129268,-3.032714741849271,-0.07598508546856514,-0.008305944056656626,0.006638765056827216,0.021154630732865057,0.004687221503540978,0.05353000756372583,0.05373482813963213,1.4834565850530534,0.528651956708467,438,True
b_T_1_-1,bphi_T_1_-1,0.26888,0.0,0.26888,0.0,,,,,,,,,,,,0,False
b_T_1_0,bphi_T_1_0,0.11881,-0.91426,0.07251888005127523,-0.09411072274777596,0.10661478747573919,-0.9592525861185663,0.06121097192825084,-0.0872922094123864,0.003441989498907229,0.004574791951273966,-0.011307908123024388,0.006818513335389562,0.013204579138452167,2.598980259489238,0.1111403008034018,438,True
b_T_1_1,bphi_T_1_1,0.12479,0.0,0.12479,0.0,0.123369812426343,0.0,0.123369812426343,0.0,0.0020386828152982018,0.0,-0.0014201875736570002,0.0,0.0014201875736570002,-3.141592653589793,0.011380620030907927,438,True
b_L_1_1,bphi_L_1_1,0.4,1.67384,-0.04114456682494563,0.39787827864912106,0.4051057885240179,1.6744100243321123,-0.04189944397145024,0.40293316628263504,0.002556070541877558,0.002272428960446587,-0.0007548771465046081,0.005054887633513971,0.005110942035844998,1.7190369089549264,0.012777355089612493,438,True
