amplitude,truth_magnitude,fit_mean,fit_std,delta_fit_minus_truth,relative_delta,n,available_in_root
a_T_0_0,0.181155,0.1642156828598794,0.0063805410123088544,-0.01693931714012062,-0.0935073121918833,438,True
a_T_1_m1,0.185705,0.18875459464280162,0.0017689759118433433,0.0030495946428016063,0.016421715316236,438,True
a_T_1_0,0.047165,0.05512139167212656,0.004740733544486316,0.007956391672126563,0.1686927101055139,438,True
a_T_1_1,0.261065,0.7297557212181125,0.0008611483188270714,0.4686907212181125,1.7953027836673339,438,True
a_L_0_0,0.025,0.03948048969495171,0.009900254471005248,0.014480489694951706,0.5792195877980683,438,True
a_L_1_0,0.0615,0.0690047794124819,0.0038453707405490503,0.007504779412481899,0.12202893353629105,438,True
a_L_1_1,0.12,0.12468104140563176,0.002158999175644959,0.004681041405631761,0.03900867838026468,438,True
b_T_0_0,0.101645,0.07859727664036306,0.012490615374362362,-0.023047723359636937,-0.2267472414741201,438,True
b_T_1_-1,0.26888,,,,,0,False
b_T_1_0,0.11881,0.10664834384368335,0.005059970449458345,-0.012161656156316647,-0.10236222671758814,438,True
b_T_1_1,0.12479,0.123369812426343,0.0020386828152982018,-0.0014201875736570002,-0.011380620030907927,438,True
b_L_1_1,0.4,0.4051133529121714,0.002356818444118485,0.005113352912171354,0.012783382280428385,438,True
