amplitude,phase_parameter,truth_phase,fit_mean,fit_std,delta_fit_minus_truth,n,available_in_root,treated_as_fixed_zero
a_T_0_0,aphi_T_0_0,1.21437,1.145398988839247,0.033320542206408885,-0.06897101116075266,438,True,False
a_T_1_m1,aphi_T_1_m1,0.0,0.7383634659767147,0.001680759083257345,0.7383634659767147,438,True,False
a_T_1_0,aphi_T_1_0,-1.67283,-1.7337636117948525,0.10984471330139646,-0.06093361179485246,438,True,False
a_T_1_1,aphi_T_1_1,0.0,0.0,0.0,0.0,438,False,True
a_L_0_0,aphi_L_0_0,2.03144,1.1136095826975634,0.5226237986778118,-0.9178304173024365,438,True,False
a_L_1_0,aphi_L_1_0,0.48291,0.396092562329466,0.03448411015327425,-0.08681743767053396,438,True,False
a_L_1_1,aphi_L_1_1,-2.14673,-2.1606325124548675,0.004269052640027054,-0.013902512454867733,438,True,False
b_T_0_0,bphi_T_0_0,-2.48761,-3.0633706157728016,0.2070538860672487,-0.5757606157728015,438,True,False
b_T_1_-1,bphi_T_1_-1,0.0,0.0,0.0,0.0,438,False,True
b_T_1_0,bphi_T_1_0,-0.91426,-0.959130590707435,0.023249514409558553,-0.04487059070743493,438,True,False
b_T_1_1,bphi_T_1_1,0.0,0.0,0.0,0.0,438,False,True
b_L_1_1,bphi_L_1_1,1.67384,1.6743973048373997,0.006131964501765028,0.0005573048373994638,438,True,False
